The traders are as follows... 


Trader [traderId=81, traderType=SELLER]

Trader [traderId=83, traderType=SELLER]

Trader [traderId=9, traderType=SELLER]

Trader [traderId=77, traderType=SELLER]

Trader [traderId=62, traderType=SELLER]

Trader [traderId=31, traderType=SELLER]

Trader [traderId=88, traderType=SELLER]

Trader [traderId=74, traderType=SELLER]

Trader [traderId=54, traderType=SELLER]

Trader [traderId=75, traderType=SELLER]

Trader [traderId=123, traderType=BUYER]

Trader [traderId=80, traderType=BUYER]

Trader [traderId=44, traderType=BUYER]

Trader [traderId=39, traderType=BUYER]

Trader [traderId=32, traderType=BUYER]

Trader [traderId=102, traderType=BUYER]

Trader [traderId=124, traderType=BUYER]

Trader [traderId=59, traderType=BUYER]

Trader [traderId=32, traderType=BUYER]

Trader [traderId=36, traderType=BUYER]

The bids are as follows...


Bid [bidId=763, traderId=81, bidType=ASK, quantity=28, price=115]

Bid [bidId=74, traderId=81, bidType=ASK, quantity=13, price=117]

Bid [bidId=61, traderId=81, bidType=ASK, quantity=4, price=98]

Bid [bidId=72, traderId=81, bidType=ASK, quantity=24, price=60]

Bid [bidId=248, traderId=81, bidType=ASK, quantity=4, price=134]

Bid [bidId=758, traderId=81, bidType=ASK, quantity=24, price=85]

Bid [bidId=528, traderId=81, bidType=ASK, quantity=19, price=112]

Bid [bidId=333, traderId=81, bidType=ASK, quantity=11, price=107]

Bid [bidId=27, traderId=81, bidType=ASK, quantity=26, price=140]

Bid [bidId=217, traderId=81, bidType=ASK, quantity=17, price=97]

Bid [bidId=614, traderId=83, bidType=ASK, quantity=8, price=86]

Bid [bidId=682, traderId=83, bidType=ASK, quantity=23, price=60]

Bid [bidId=523, traderId=83, bidType=ASK, quantity=5, price=60]

Bid [bidId=634, traderId=83, bidType=ASK, quantity=10, price=60]

Bid [bidId=428, traderId=83, bidType=ASK, quantity=24, price=110]

Bid [bidId=712, traderId=83, bidType=ASK, quantity=18, price=60]

Bid [bidId=934, traderId=83, bidType=ASK, quantity=24, price=97]

Bid [bidId=22, traderId=83, bidType=ASK, quantity=21, price=74]

Bid [bidId=175, traderId=83, bidType=ASK, quantity=20, price=60]

Bid [bidId=752, traderId=83, bidType=ASK, quantity=10, price=68]

Bid [bidId=604, traderId=9, bidType=ASK, quantity=4, price=84]

Bid [bidId=335, traderId=9, bidType=ASK, quantity=23, price=129]

Bid [bidId=902, traderId=9, bidType=ASK, quantity=19, price=104]

Bid [bidId=742, traderId=9, bidType=ASK, quantity=3, price=60]

Bid [bidId=62, traderId=9, bidType=ASK, quantity=18, price=60]

Bid [bidId=525, traderId=9, bidType=ASK, quantity=28, price=125]

Bid [bidId=982, traderId=9, bidType=ASK, quantity=1, price=60]

Bid [bidId=702, traderId=9, bidType=ASK, quantity=21, price=139]

Bid [bidId=810, traderId=9, bidType=ASK, quantity=6, price=114]

Bid [bidId=0, traderId=9, bidType=ASK, quantity=4, price=107]

Bid [bidId=757, traderId=77, bidType=ASK, quantity=5, price=60]

Bid [bidId=954, traderId=77, bidType=ASK, quantity=21, price=129]

Bid [bidId=149, traderId=77, bidType=ASK, quantity=5, price=117]

Bid [bidId=249, traderId=77, bidType=ASK, quantity=8, price=144]

Bid [bidId=256, traderId=77, bidType=ASK, quantity=22, price=126]

Bid [bidId=545, traderId=77, bidType=ASK, quantity=11, price=60]

Bid [bidId=456, traderId=77, bidType=ASK, quantity=20, price=60]

Bid [bidId=886, traderId=77, bidType=ASK, quantity=1, price=60]

Bid [bidId=801, traderId=77, bidType=ASK, quantity=5, price=99]

Bid [bidId=164, traderId=77, bidType=ASK, quantity=25, price=60]

Bid [bidId=195, traderId=62, bidType=ASK, quantity=12, price=121]

Bid [bidId=876, traderId=62, bidType=ASK, quantity=3, price=96]

Bid [bidId=511, traderId=62, bidType=ASK, quantity=23, price=145]

Bid [bidId=323, traderId=62, bidType=ASK, quantity=20, price=67]

Bid [bidId=752, traderId=62, bidType=ASK, quantity=24, price=119]

Bid [bidId=351, traderId=62, bidType=ASK, quantity=23, price=101]

Bid [bidId=315, traderId=62, bidType=ASK, quantity=18, price=60]

Bid [bidId=622, traderId=62, bidType=ASK, quantity=17, price=134]

Bid [bidId=776, traderId=62, bidType=ASK, quantity=2, price=116]

Bid [bidId=151, traderId=62, bidType=ASK, quantity=10, price=120]

Bid [bidId=943, traderId=31, bidType=ASK, quantity=16, price=114]

Bid [bidId=570, traderId=31, bidType=ASK, quantity=13, price=103]

Bid [bidId=173, traderId=31, bidType=ASK, quantity=18, price=60]

Bid [bidId=54, traderId=31, bidType=ASK, quantity=21, price=60]

Bid [bidId=666, traderId=31, bidType=ASK, quantity=10, price=60]

Bid [bidId=682, traderId=31, bidType=ASK, quantity=3, price=80]

Bid [bidId=180, traderId=31, bidType=ASK, quantity=20, price=60]

Bid [bidId=545, traderId=31, bidType=ASK, quantity=6, price=118]

Bid [bidId=106, traderId=31, bidType=ASK, quantity=8, price=80]

Bid [bidId=389, traderId=31, bidType=ASK, quantity=19, price=128]

Bid [bidId=100, traderId=88, bidType=ASK, quantity=25, price=80]

Bid [bidId=31, traderId=88, bidType=ASK, quantity=17, price=60]

Bid [bidId=408, traderId=88, bidType=ASK, quantity=21, price=60]

Bid [bidId=760, traderId=88, bidType=ASK, quantity=19, price=85]

Bid [bidId=281, traderId=88, bidType=ASK, quantity=3, price=60]

Bid [bidId=465, traderId=88, bidType=ASK, quantity=7, price=80]

Bid [bidId=329, traderId=88, bidType=ASK, quantity=10, price=125]

Bid [bidId=24, traderId=88, bidType=ASK, quantity=17, price=124]

Bid [bidId=702, traderId=88, bidType=ASK, quantity=9, price=121]

Bid [bidId=562, traderId=88, bidType=ASK, quantity=27, price=113]

Bid [bidId=434, traderId=74, bidType=ASK, quantity=8, price=84]

Bid [bidId=536, traderId=74, bidType=ASK, quantity=2, price=67]

Bid [bidId=265, traderId=74, bidType=ASK, quantity=22, price=146]

Bid [bidId=80, traderId=74, bidType=ASK, quantity=20, price=60]

Bid [bidId=559, traderId=74, bidType=ASK, quantity=29, price=110]

Bid [bidId=6, traderId=74, bidType=ASK, quantity=17, price=100]

Bid [bidId=354, traderId=74, bidType=ASK, quantity=2, price=60]

Bid [bidId=10, traderId=74, bidType=ASK, quantity=28, price=60]

